market,category,subcategory,currency,descripcion_producto,precio_producto,precio_promocion,descripcion_promocion,imagen
Carrefour,Destacados,La Dietética,ARG,Salsa chimichurri La Parmesana sin sal 300 cc. ,"$ 311,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas Crisppino arroz queso sin TACC 100 g. ,"$ 247,00",,,
Carrefour,Destacados,La Dietética,ARG,Barra de cereal Zafrán cajú semillas de zapallo 28 g. sin TACC ,"$ 169,50",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas Smams vainilla con relleno 105 g. SIN TACC ,"$ 227,00",,,
Carrefour,Destacados,La Dietética,ARG,Tostadas de arroz Lulemuu con sal 120 g. sin TACC ,"$ 151,50",,,
Carrefour,Destacados,La Dietética,ARG,Barra de cereal Zafrán maní cacao 28 g. sin TACC ,"$ 169,50",,,
Carrefour,Destacados,La Dietética,ARG,Leche de coco light Sococo 200 cc. ,"$ 899,00",,,
Carrefour,Destacados,La Dietética,ARG,Krabas Santa elena sin TACC preformado de surimi 300 g. ,"$ 999,00",,,
Carrefour,Destacados,La Dietética,ARG,Tabletas Freddo sin TACC dulce de leche 6 u. ,"$ 1.280,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas Aglu vainilla con gotitas de chocolate 180 g. SIN TACC ,"$ 442,00",,,
Carrefour,Destacados,La Dietética,ARG,Leche de coco Sococo 500 cc. ,"$ 2.140,00",,,
Carrefour,Destacados,La Dietética,ARG,Edulcorante líquido Grandiet stevia sin azúcar 100 cc. ,"$ 494,00",,,
Carrefour,Destacados,La Dietética,ARG,Helado Freddo sin TACC chocolate doble tentación 375 g. ,"$ 981,00",,,
Carrefour,Destacados,La Dietética,ARG,Pimienta blanca molida Pérgola 25 g. sin TACC ,"$ 235,50",,,
Carrefour,Destacados,La Dietética,ARG,Pimienta blanca molida Pérgola 25 g. sin TACC ,"$ 235,50",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas con fibra Schär 150 g. sin TACC ,"$ 401,00",,,
Carrefour,Destacados,La Dietética,ARG,Molinillo Indo Deli pollitos sin sal 40 g. ,"$ 964,00",,,
Carrefour,Destacados,La Dietética,ARG,Bebida isotónica Carrefour blueberry cero azúcar 750 cc. ,"$ 139,00",,,
Carrefour,Destacados,La Dietética,ARG,Leche de coco light Sococo 500 cc. ,"$ 1.970,00",,,
Carrefour,Destacados,La Dietética,ARG,Sopa de maíz familiar Teramo sin TACC 86 g. ,"$ 624,00",,,
Carrefour,Destacados,La Dietética,ARG,Chips de pan Delician 4 u. sin TACC ,"$ 484,00",,,
Carrefour,Destacados,La Dietética,ARG,Mini cake copitos Delician sin TACC 150 g. ,"$ 475,00",,,
Carrefour,Destacados,La Dietética,ARG,Mix de frutos secos Zafrán almendras pasas 28 g. sin TACC ,"$ 190,00",,,
Carrefour,Destacados,La Dietética,ARG,Budín Delician relleno con dulce de leche 200 g. sin TACC ,"$ 559,00",,,
Carrefour,Destacados,La Dietética,ARG,Tostadas de arroz Lulemuu sin sal 120 g. sin TACC ,"$ 151,50",,,
Carrefour,Destacados,La Dietética,ARG,Barra de cereal Zafrán manzana chía 28 g. sin TACC ,"$ 169,50",,,
Carrefour,Destacados,La Dietética,ARG,Premezcla para galletas dulces Carrefour 225 g. sin TACC ," 585,00","$ 544,05c/u",Mi CRF 7%,https://carrefourar.vtexassets.com/arquivos/ids/180036-170-170?v=1767615485&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Helado Freddo sin TACC dulce de leche tentación 375 g. ,"$ 981,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas Aglu chocolate 150 g. SIN TACC. ,"$ 394,00",,,
Carrefour,Destacados,La Dietética,ARG,Bebida isotónica Carrefour manzana cero azúcar 750 cc. ,"$ 139,00",,,
Carrefour,Destacados,La Dietética,ARG,Bebida isotónica Carrefour naranja cero azúcar 750 cc. ,"$ 139,00",,,
Carrefour,Destacados,La Dietética,ARG,Bebida isotónica Carrefour frutas tropicales cero azúcar 750 cc. ,"$ 139,00",,,
Carrefour,Destacados,La Dietética,ARG,Bizcochos de arroz Lulemuu dulces 50 g. SIN TACC ,"$ 113,00",,,
Carrefour,Destacados,La Dietética,ARG,Helado de leche de coco Haulani frutilla 500 cc. ,"$ 1.040,00",,,
Carrefour,Destacados,La Dietética,ARG,Premezcla para pastas Carrefour 200 g. sin TACC ," 538,00","$ 494,96c/u",Mi CRF 8%,https://carrefourar.vtexassets.com/arquivos/ids/180192-170-170?v=1767613258&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Pan de campo Bio con semillas sin TACC 190 g. ,"$ 732,00",,,
Carrefour,Destacados,La Dietética,ARG,Helado de leche de coco Haulani chocolate 440 g. ,"$ 1.090,00",,,
Carrefour,Destacados,La Dietética,ARG,Salsa de ajo Pampagourmet ahumado orgánico 285 g. ,"$ 1.030,00",,,
Carrefour,Destacados,La Dietética,ARG,Barritas cereal sin TACC surtidas Havanna x 6 uni ,"$ 1.465,00",,,
Carrefour,Destacados,La Dietética,ARG,Pan de mesa Bio de molde sin TACC 200 g. ,"$ 614,00",,,
Carrefour,Destacados,La Dietética,ARG,Ñoquis Leofanti sin TACC espinaca veganos 250 g. ,"$ 345,00",,,
Carrefour,Destacados,La Dietética,ARG,Ñoquis Leofanti sin TACC calabaza veganos 250 g. ,"$ 345,00",,,
Carrefour,Destacados,La Dietética,ARG,Ñoquis Leofanti sin TACC remolacha veganos 250 g. ,"$ 345,00",,,
Carrefour,Destacados,La Dietética,ARG,Rebozador Maggi® mix de cereales y semillas 350 g. ,"$ 355,00",,,
Carrefour,Destacados,La Dietética,ARG,Grisines Bammi sin sal 145 g. ,"$ 371,00",,,
Carrefour,Destacados,La Dietética,ARG,Galletitas Morixe mini sin sal 250 g. ,"$ 191,60",,,
Carrefour,Destacados,La Dietética,ARG,Maní pelado tostado sin sal Croppers 340 g. ,"$ 368,00",,,
Carrefour,Destacados,La Dietética,ARG,Edulcorante líquido con stevia Carrefour 500 cc. ," 477,00","$ 429,30c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/233100-170-170?v=1767617234&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Sal Salusin dietética sin sodio caja 50 g. ,"$ 354,00",,,
Carrefour,Destacados,La Dietética,ARG,Acondicionador eco rosa mosqueta Botik 300 cc. ,"$ 2.330,00",,,
Carrefour,Destacados,La Dietética,ARG,Acondicionador eco extra suave puro Botik 300 cc. ,"$ 2.330,00",,,
Carrefour,Destacados,La Dietética,ARG,Queso fundido Finlandia balance light pote 180 g. ,"$ 484,00",,,
Carrefour,Destacados,La Dietética,ARG,Queso fundido Finlandia balance pote 290 g. ,"$ 724,00",,,
Carrefour,Destacados,La Dietética,ARG,Miel Carrefour Bio orgánica 500 g. ," 1.072,00","$ 964,80c/u",Mi CRF 10%,https://carrefourar.vtexassets.com/arquivos/ids/201557-170-170?v=1767618496&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Vino tinto Santa Julia malbec orgánico 750 cc. ," 1.320,00","$ 880,00c/u",3x2 Max 24 Unidades Combinable VINOS Y ESPUMANTES,https://carrefourar.vtexassets.com/arquivos/ids/300114-170-170?v=1767610649&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Porotos mung orgánicos Terrasana bolsa 500 g. ,"$ 696,00",,,
Carrefour,Destacados,La Dietética,ARG,Porotos colorados orgánicos Terrasana bolsa 500 g. ,"$ 696,00",,,
Carrefour,Destacados,La Dietética,ARG,Nueces orgánicas Terrasana 100 g. ,"$ 1.090,00",,,
Carrefour,Destacados,La Dietética,ARG,Cerveza Patagonia sendero sur lata 6 uni x 473 cc. ,"$ 2.500,00",,,
Carrefour,Destacados,La Dietética,ARG,Crema facial Natural Puro vegetal caléndula manzanilla 60 g. ,"$ 2.335,00",,,
Carrefour,Destacados,La Dietética,ARG,Crema facial Natural Puro vegetal rosa mosqueta 60 g. ,"$ 2.335,00",,,
Carrefour,Destacados,La Dietética,ARG,Shampoo Natural Puro vegetal extra suave 300 cc. ,"$ 2.330,00",,,
Carrefour,Destacados,La Dietética,ARG,Shampoo Natural Puro vegetal caléndula manzanilla 300 cc. ,"$ 2.330,00",,,
Carrefour,Destacados,La Dietética,ARG,Balsamo labial Botik jengibre menta 1 uni ,"$ 1.130,00",,,
Carrefour,Destacados,La Dietética,ARG,Jabón de tocador Botik manzanilla 85 g. ,"$ 1.185,00",,,
Carrefour,Destacados,La Dietética,ARG,Jabón de tocador Botik rosa mosqueta 85 g. ,"$ 1.185,00",,,
Carrefour,Destacados,La Dietética,ARG,Jabón de tocador Botik romero tea tree 85 g. ,"$ 1.185,00",,,
Carrefour,Destacados,La Dietética,ARG,Jabón de tocador Botik lavanda melisa 85 g. ,"$ 1.185,00",,,
Carrefour,Destacados,La Dietética,ARG,Aceto balsámico orgánico Maelca botella 250 cc. ,"$ 468,00",,,
Carrefour,Destacados,La Dietética,ARG,Aceite de oliva Maelca organico botella 500 cc. ,"$ 1.735,00",,,
Carrefour,Destacados,La Dietética,ARG,Acondicionador sólido lavanda Boti-k 45 g. ,"$ 1.540,00",,,
Carrefour,Destacados,La Dietética,ARG,Acondicionador sólido neutro Boti-k 45 g. ,"$ 1.390,00",,,
Carrefour,Destacados,La Dietética,ARG,Miel cremosa Montecitos 300 g. ,"$ 783,00",,,
Carrefour,Destacados,La Dietética,ARG,Harina de trigo integral Dicomere orgánica paquete 1000 g. ,"$ 452,00",,,
Carrefour,Destacados,La Dietética,ARG,Té verde orgánico doy pack 80 g. ,"$ 694,00",,,
Carrefour,Destacados,La Dietética,ARG,Jugo orgánico manzana Las Brisas 330 cc. ,"$ 461,00",,,
Carrefour,Destacados,La Dietética,ARG,Jugo orgánico de arándano Las Brisas botella 330 cc. ,"$ 499,00",,,
Carrefour,Destacados,La Dietética,ARG,Jugo orgánico de naranja Las Brisas 330 cc. ,"$ 475,00",,,
Carrefour,Destacados,La Dietética,ARG,Jugo orgánico de arándano s azúcar Las Brisas bot 330 cc. ,"$ 475,00",,,
Carrefour,Destacados,La Dietética,ARG,Jugo orgánico de naranja s azúcar Las Brisas bot 330 cc. ,"$ 475,00",,,
Carrefour,Destacados,La Dietética,ARG,Jugo orgánico de manzana s azúcar Las Brisas bot 330 cc. ,"$ 461,00",,,
Carrefour,Destacados,La Dietética,ARG,Detox orgánico de nar zan man jen Las Brisas botella 330 cc. ,"$ 419,00",,,
Carrefour,Destacados,La Dietética,ARG,Jugo orgánico de arándano Las Brisas botella 910 cc. ,"$ 1.270,00",,,
Carrefour,Destacados,La Dietética,ARG,Chocolate orgánico Essentia nestle® 60 g. ,"$ 900,00",,,
Carrefour,Destacados,La Dietética,ARG,Chocolate orgánico Essentia nestle® con chips de cacao 60 g. ,"$ 864,00",,,
Carrefour,Destacados,La Dietética,ARG,Bebida energizante Red Bull sugar free 250 cc. ,"$ 308,00",,,
Carrefour,Destacados,La Dietética,ARG,Dulce dietético Regional de la patagonia sauco 260 g. ,"$ 1.050,00",,,
Carrefour,Destacados,La Dietética,ARG,Mermelada de durazno Cuarto Creciente stevia 440 g. ,"$ 826,00",,,
Carrefour,Destacados,La Dietética,ARG,Mermelada de frutilla Cuarto Creciente stevia 400 g. ,"$ 823,00",,,
Carrefour,Destacados,La Dietética,ARG,Mermelada de arandano Cuarto Creciente stevia 400 g. ,"$ 826,00",,,
Carrefour,Destacados,La Dietética,ARG,Dulce de leche Ser pote 300 g. ,"$ 379,00",,,
Carrefour,Destacados,La Dietética,ARG,Bebida láctea La Serenísima ultra vainilla 900 cc. ,"$ 337,80",,,
Carrefour,Destacados,La Dietética,ARG,Bebida láctea La Serenísima ultra frutilla 900 cc. ,"$ 337,80",,,
Carrefour,Destacados,La Dietética,ARG,Bebida láctea La Serenísima ultra 0 grasa vainilla 900 cc. ,"$ 337,80",,,
Carrefour,Destacados,La Dietética,ARG,Bebida láctea La Serenísima ultra 0 grasa frutilla 900 cc. ,"$ 337,80",,,
Carrefour,Destacados,La Dietética,ARG,Bebida láctea La Serenísima uat vainilla 1000 cc. ," 442,00","$ 331,50c/u",2do al 50% Mi Crf Max 24 Unidades Iguales ,https://carrefourar.vtexassets.com/arquivos/ids/275937-170-170?v=1767617761&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Bebida láctea La Serenísima uat frutilla 1000 cc. ," 442,00","$ 331,50c/u",2do al 50% Mi Crf Max 24 Unidades Iguales ,https://carrefourar.vtexassets.com/arquivos/ids/275921-170-170?v=1767617659&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Bebida láctea La Serenísima uat 0 grasa vainilla 1000 cc. ," 442,00","$ 331,50c/u",2do al 50% Mi Crf Max 24 Unidades Iguales ,https://carrefourar.vtexassets.com/arquivos/ids/275891-170-170?v=1767617633&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Bebida láctea La Serenísima uat 0 grasa frutilla 1000 cc. ," 442,00","$ 331,50c/u",2do al 50% Mi Crf Max 24 Unidades Iguales ,https://carrefourar.vtexassets.com/arquivos/ids/275916-170-170?v=1767618700&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Alimento veg. beb. La Serenísima almendra s azúcar 1000 cc. ," 578,00","$ 346,80c/u",2do al 80% Max 24 Unidades Iguales ,https://carrefourar.vtexassets.com/arquivos/ids/274901-170-170?v=1767618742&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Yogur big pot parcialmente descremado Ser natural 300 g. ," 445,00","$ 333,75c/u",2do al 50% Mi Crf Max 24 Unidades Iguales ,https://carrefourar.vtexassets.com/arquivos/ids/307720-170-170?v=1767617364&width=170&height=170&aspect=true
Carrefour,Destacados,La Dietética,ARG,Leche descremada La Serenísima UAT proteinas 1 l. ,"$ 403,00",,,
Carrefour,Destacados,La Dietética,ARG,Leche parcialmente descremada uat zero lactosa La Serenísima 1 l. ,"$ 370,00",,,
Carrefour,Destacados,La Dietética,ARG,Leche en polvo entera deslacteada La Serenísima 400 g. ,"$ 1.220,00",,,
Carrefour,Destacados,La Dietética,ARG,Leche multivitaminas 2% La Serenísima sachet 1 l. ,"$ 309,00",,,
Carrefour,Destacados,La Dietética,ARG,Leche multivitaminas 3% La Serenísima sachet 1 l. ,"$ 309,00",,,
